Tag,Kumulative Tages-Bruttoleistung,daylight_duration,sunshine_duration,shortwave_radiation_sum,Solar(GWh)
2018-01-01,42176751.16199997,29705.875,19056.74,3.36,31.1
2018-01-02,42205787.48299997,29769.371,848.05005,1.71,17.2
2018-01-03,42213680.38399997,29838.088,8208.343,2.06,13.8
2018-01-04,42222035.33099997,29912.12,0.0,0.71,9.8
2018-01-05,42232076.01699997,29992.287,7854.3057,2.14,19.4
2018-01-06,42232461.49199997,30078.527,10730.166,2.46,30.8
2018-01-07,42233331.88199997,30170.61,0.0,1.61,17.9
2018-01-08,42245815.70099997,30268.303,1338.7407,2.2,32.0
2018-01-09,42257450.599999964,30371.385,7452.6665,2.63,31.1
2018-01-10,42269900.22999997,30479.625,16135.979,3.89,39.9
2018-01-11,42278186.79999997,30592.787,0.0,1.58,22.2
2018-01-12,42286399.408999965,30710.656,124.85139,2.22,11.6
2018-01-13,42286629.11399996,30833.002,2713.812,2.29,12.1
2018-01-14,42286753.633999966,30959.6,12821.746,3.25,35.1
2018-01-15,42297680.27099997,31090.234,16863.121,3.05,31.9
2018-01-16,42316419.497999966,31224.686,1338.1052,1.62,19.6
2018-01-17,42323741.91899996,31362.74,18975.111,3.98,19.9
2018-01-18,42334202.29599996,31504.191,3747.54,1.38,16.7
2018-01-19,42340604.30199996,31648.824,23802.408,4.2,28.0
2018-01-20,42341425.992999956,31796.44,2589.8062,2.61,15.8
2018-01-21,42341603.017999955,31946.834,14433.393,3.2,19.3
2018-01-22,42350702.844999954,32099.816,0.0,1.03,10.2
2018-01-23,42357281.209999956,32255.186,46.105247,1.41,20.0
2018-01-24,42364177.319999956,32413.08,8666.858,2.7,43.3
2018-01-25,42371068.72999995,32575.156,22534.354,5.41,31.8
2018-01-26,42380942.85199995,32741.445,19535.705,4.53,29.2
2018-01-27,42381818.63699995,32911.67,7366.41,3.15,27.0
2018-01-28,42381909.87699995,33085.562,0.0,1.17,23.4
2018-01-29,42390435.51899995,33262.85,0.0,2.65,25.0
2018-01-30,42407931.781999946,33443.285,29179.371,7.0,52.6
2018-01-31,42434364.71999995,33626.598,10943.117,2.89,32.6
2018-02-01,42448044.50399995,33812.54,1973.5769,3.51,34.4
2018-02-02,42454926.58199995,34000.875,15060.017,5.18,40.2
2018-02-03,42455783.19199995,34191.367,27419.742,5.28,26.5
2018-02-04,42455794.50699995,34383.78,23168.34,5.3,27.6
2018-02-05,42485180.63999995,34577.9,26115.434,7.38,56.2
2018-02-06,42506009.81599995,34773.492,28541.148,8.29,70.1
2018-02-07,42511257.42999995,34970.35,13660.481,5.83,59.0
2018-02-08,42517217.707999945,35168.266,20603.322,6.07,54.6
2018-02-09,42521017.097999945,35367.03,0.0,3.59,44.7
2018-02-10,42521318.55299994,35566.457,512.98004,2.76,25.8
2018-02-11,42521335.55299994,35766.34,3451.604,2.77,30.1
2018-02-12,42526516.92699994,35966.484,31148.943,6.52,50.0
2018-02-13,42532619.03999994,36167.06,32122.404,7.92,103.0
2018-02-14,42538178.40499994,36369.88,26819.412,8.49,119.7
2018-02-15,42555133.24599994,36575.062,8511.238,4.93,32.4
2018-02-16,42560624.030999936,36782.406,18388.91,6.24,75.6
2018-02-17,42560897.500999935,36991.7,0.0,2.6,36.4
