Tag,Kumulative Tages-Bruttoleistung,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Kohlegas(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh),Gesamtstromerzeugung,Gesamte Windstromerzeugung,Jahr,Solaranteil,Monat,Wochentag,Erneuerbar,Nicht-Erneuerbar,Erneuerbar Anteil,Kernenergie Anteil
2018-01-01,42176751.16199997,156.8,46.7,126.6,204.5,8.9,43.6,2.3,66.3,0.4,1.1,1.2,13.1,15.1,76.4,609.6,31.1,1403.6999999999998,686.0,2018,2.2155731281612883,1,0,905.0000000000001,497.50000000000006,64.52762923351159,11.170478022369453
2018-01-02,42205787.48299997,220.9,47.1,128.3,355.1,10.4,107.6,2.4,117.9,0.4,1.2,1.6,13.3,15.2,63.9,393.2,17.2,1495.7000000000003,457.09999999999997,2018,1.1499632279200371,1,1,664.6,829.5,44.48162773576067,14.769004479507922
2018-01-03,42213680.38399997,196.0,48.8,127.7,248.0,8.3,65.3,2.3,92.1,0.4,1.5,1.4,14.3,16.4,92.3,820.2,13.8,1748.7999999999997,912.5,2018,0.7891125343092408,1,2,1119.0,628.4,64.03799931326542,11.207685269899361
2018-01-04,42222035.33099997,216.8,51.8,128.4,319.9,9.1,176.6,2.3,113.2,0.4,1.7,1.5,13.9,15.9,37.6,551.9,9.8,1650.8,589.5,2018,0.5936515628786044,1,3,795.4999999999999,853.8000000000001,48.232583520281324,13.13302641143688
2018-01-05,42232076.01699997,209.6,52.0,128.7,338.5,9.0,192.9,2.3,123.4,0.4,1.5,1.4,12.8,14.7,28.0,512.3,19.4,1646.9,540.3,2018,1.1779707328921,1,4,755.0999999999999,890.4,45.88878760255241,12.72694152650434
2018-01-06,42232461.49199997,222.7,52.0,128.4,389.3,11.4,165.2,2.3,107.3,0.4,1.0,1.2,13.1,15.0,29.4,172.0,30.8,1341.5,201.4,2018,2.295937383525904,1,5,427.1,913.1999999999998,31.86600014922033,16.60081997763697
2018-01-07,42233331.88199997,222.2,48.4,128.6,369.4,8.5,70.0,2.3,95.5,0.5,1.2,1.2,13.1,15.0,34.1,348.5,17.9,1376.4,382.6,2018,1.3004940424295262,1,6,592.3,782.8999999999999,43.07009889470623,16.143562917756466
2018-01-08,42245815.70099997,224.7,48.5,128.0,411.4,11.7,151.1,2.4,141.4,0.4,1.0,1.4,13.5,15.4,63.5,472.9,32.0,1719.3000000000002,536.4,2018,1.861222590589193,1,0,759.8,958.0999999999999,44.22841841783573,13.069272378293489
2018-01-09,42257450.599999964,218.6,52.9,127.9,393.2,12.2,177.8,2.5,152.1,0.4,1.4,1.4,12.9,14.8,79.9,454.6,31.1,1733.7000000000003,534.5,2018,1.793851300686393,1,1,761.1,971.1999999999999,43.93580788547018,12.608871200323007
2018-01-10,42269900.22999997,224.2,54.5,128.6,430.6,11.9,310.6,2.6,195.2,0.4,1.6,1.5,12.9,14.8,26.1,129.4,39.9,1584.8000000000002,155.5,2018,2.517667844522968,1,2,393.4,1189.8999999999999,24.84683888081855,14.146895507319535
